from,prop,to
http://example.org/tic-absa/comment/5e949811ec4a89805900109d,skos:broader,http://example.org/tic-absa/thread/5e9446cdec4a89aaf300061c
http://example.org/tic-absa/comment/5e949c53ec4a89e82d0010dc,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e949c58ec4a8980590010e7,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e94b620ec4a890a0900007b,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94b659ec4a8974b0000071,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94b70bec4a890a090000a8,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94b969ec4a890a090000fe,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94ba03ec4a8974b000010a,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94baccec4a896eb4000119,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94bdb9ec4a897568000186,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94bec8ec4a896eb40001ab,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94bf11ec4a896eb40001b6,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94c00bec4a8975680001d5,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94c175ec4a8975680001fb,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94c317ec4a89756800022d,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94c5f5ec4a890a09000286,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94c68eec4a890a09000299,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
